ubuntu-user@SYJ-ubuntu:/mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIS$  cd /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST ; env "PYTHONIO
ENCODING=UTF-8" "PYTHONUNBUFFERED=1" /usr/bin/python3 /home/ubuntu-user/.vscode/extensions/ms-python.python-2019.1.0/pythonFiles/ptvsd_launcher.py --default --client --host localhost --port 37883 "/mnt/07E6085F07E6085F/[工程 项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py" 
WARNING:tensorflow:From /mnt/07E6085F07E6085F/[工程项目]/[GitHub]/PP/11.MNIST/MNIST Kaggle 2.py:111: softmax_cross_entropy_with_logits (from tensorflow.python.ops.nn_ops) is deprecated and will be removed in a future version.
Instructions for updating:

Future major versions of TensorFlow will allow gradients to flow
into the labels input on backprop by default.

See `tf.nn.softmax_cross_entropy_with_logits_v2`.

2019-02-17 03:56:33.006555: I tensorflow/core/platform/cpu_feature_guard.cc:141] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
===============START===============
Load?(y/n): n
=============SET TIMER=============
Time limit(s, unlimited: -1): 600
===================================
Training step: 14500 Accuracy: 79.4 learning rate: 0.0043219132
Training step: 14600 Accuracy: 85.3 learning rate: 0.0043175714
Training step: 14700 Accuracy: 91.5 learning rate: 0.0043132342
Training step: 14800 Accuracy: 88.9 learning rate: 0.0043089017
Training step: 14900 Accuracy: 92.2 learning rate: 0.004304573
Training step: 15000 Accuracy: 91.5 learning rate: 0.0043002493
Training step: 15100 Accuracy: 90.5 learning rate: 0.0042959293
Training step: 15200 Accuracy: 92.5 learning rate: 0.004291614
Training step: 15300 Accuracy: 93.30000000000001 learning rate: 0.004287303
Training step: 15400 Accuracy: 89.3 learning rate: 0.004282996
Training step: 15500 Accuracy: 91.60000000000001 learning rate: 0.004278694
Training step: 15600 Accuracy: 87.1 learning rate: 0.0042743958
Training step: 15700 Accuracy: 90.10000000000001 learning rate: 0.004270102
Training step: 15800 Accuracy: 89.5 learning rate: 0.0042658127
Training step: 15900 Accuracy: 90.3 learning rate: 0.004261527
Training step: 16000 Accuracy: 88.0 learning rate: 0.0042572464
Training step: 16100 Accuracy: 81.10000000000001 learning rate: 0.00425297
Training step: 16200 Accuracy: 85.3 learning rate: 0.004248698
Training step: 16300 Accuracy: 90.9 learning rate: 0.00424443
Training step: 16400 Accuracy: 88.5 learning rate: 0.004240166
Training step: 16500 Accuracy: 92.2 learning rate: 0.004235907
Training step: 16600 Accuracy: 91.3 learning rate: 0.004231652
Training step: 16700 Accuracy: 83.3 learning rate: 0.0042274008
Training step: 16800 Accuracy: 82.5 learning rate: 0.0042231544
Training step: 16900 Accuracy: 92.30000000000001 learning rate: 0.004218912
Training step: 17000 Accuracy: 84.2 learning rate: 0.0042146742
Training step: 17100 Accuracy: 93.10000000000001 learning rate: 0.0042104404
Training step: 17200 Accuracy: 93.7 learning rate: 0.004206211
Training step: 17300 Accuracy: 94.19999999999999 learning rate: 0.004201986
Training step: 17400 Accuracy: 91.0 learning rate: 0.0041977647
Training step: 17500 Accuracy: 92.60000000000001 learning rate: 0.0041935476
Training step: 17600 Accuracy: 90.2 learning rate: 0.0041893353
Training step: 17700 Accuracy: 92.60000000000001 learning rate: 0.004185127
Training step: 17800 Accuracy: 86.5 learning rate: 0.004180923
Training step: 17900 Accuracy: 92.60000000000001 learning rate: 0.004176723
Training step: 18000 Accuracy: 92.80000000000001 learning rate: 0.004172527
Training step: 18100 Accuracy: 92.7 learning rate: 0.004168336
Training step: 18200 Accuracy: 80.9 learning rate: 0.0041641486
Training step: 18300 Accuracy: 93.8 learning rate: 0.0041599656
Training step: 18400 Accuracy: 93.4 learning rate: 0.004155787
Training step: 18500 Accuracy: 95.19999999999999 learning rate: 0.0041516125
Training step: 18600 Accuracy: 94.5 learning rate: 0.004147442
===================================
